N.,DESCRIPCION,Precio + IVA,,,,,,,,,,,,,,,,,,,,,,
189,LIJADORA ORBITRAL M/ TOLSEN D/ 120V 2A ,79761,917.49,,,,,,,,,,,,,,,,,,,,,,
190,"LIJADORA M/ TOLSEN D/ 120V 2A 1/4"" ",79762,765.77,,,,,,,,,,,,,,,,,,,,,,
191,BOMBA PEREFERICA M/ TOLSEN D/ 3A 350W 1/2 HP ,79845,"1,051.89",,,,,,,,,,,,,,,,,,,,,,
192,BOMBA JET M/ TOLSEN D/ 8A 750W 1 HP ,79847,"2,647.93",,,,,,,,,,,,,,,,,,,,,,
193,CAJA P/ HERRAMIENTAS M/ TOLSEN METALICA D/ 495 X 200 X 290MM ,80212,746.65,,,,,,,,,,,,,,,,,,,,,,
194,ESTANTE GALVANIZADA DE 5 NIVELES DE 50 KG CADA NIVEL  ,83071,801.01,,,,,,,,,,,,,,,,,,,,,,
195,JUEGO D/ HERRAMIENTAS MANUALES M/ TOLSEN D/ 9 PCS ,85301,448.59,,,,,,,,,,,,,,,,,,,,,,
196,JUEGO D/ LLAVE TORX M/ TOLSEN D/ 8 PCS ,20069,75.86,,,,,,,,,,,,,,,,,,,,,,
197,MARTILLO M/ TOLSEN P/ CARPINTERO M/ FIBRA D/ 20 OZ - 560 G ,25031,130.81,,,,,,,,,,,,,,,,,,,,,,
198,MARTILLO M/ TOLSEN D/ HULE T/ INDISTRIAL D/ 8 OZ - 225 G ,25033,61.52,,,,,,,,,,,,,,,,,,,,,,
199,MARTILLO M/ TOLSEN D/ HULE T/ INDISTRIAL D/ 16 OZ - 450 G ,25035,78.85,,,,,,,,,,,,,,,,,,,,,,
200,HACHA M/ TOLSEN M/ FIBRA D/ 600 G 25053,164.86,,,,,,,,,,,,,,,,,,,,,,
201,PUNTERO M/ TOLSEN C/ PROTECTOR D/ 4 X 18 X 300 MM ,25085,72.87,,,,,,,,,,,,,,,,,,,,,,
202,CINCEL M/ TOLSEN C/ PROTECTOR D/ 22 X 16 X 250 MM ,25086,59.73,,,,,,,,,,,,,,,,,,,,,,
203,CINCEL M/ TOLSEN C/ PROTECTOR D/ 24 X 18 X 300 MM ,25089,72.87,,,,,,,,,,,,,,,,,,,,,,
204,MARTILLO M/ TOLSEN P/ CARPINTERO M/ MADERA D/ 29MM 16OZ 450G ,25150,113.49,,,,,,,,,,,,,,,,,,,,,,
205,MARTILLO M/ TOLSEN D/ HULE T/ INDISTRIAL D/ 8 OZ - 225 G ,25173,75.86,,,,,,,,,,,,,,,,,,,,,,
206,HACHA M/ TOLSEN M/ MADERA D/ 600G ,25253,144.55,,,,,,,,,,,,,,,,,,,,,,
207,HACHA M/ TOLSEN M/ MADERA D/ 800G ,25254,161.87,,,,,,,,,,,,,,,,,,,,,,
208,"MARCO D/ SEGUETA M/ TOLSEN T/ AJUSTABLE C/ SEGUETA D/ 8"" - 12"" ",30056,78.25,,,,,,,,,,,,,,,,,,,,,,
209,BOTA D/ HULE M/ TOLSEN C/ CUBO D/ HIERRO T/ 40 ,45115,315.39,,,,,,,,,,,,,,,,,,,,,,
210,BOTA D/ HULE M/ TOLSEN C/ CUBO D/ HIERRO T/ 41 ,45116,315.39,,,,,,,,,,,,,,,,,,,,,,
211,BOTA D/ HULE M/ TOLSEN C/ CUBO D/ HIERRO T/ 42 ,45117,315.39,,,,,,,,,,,,,,,,,,,,,,
212,BOTA D/ HULE M/ TOLSEN C/ CUBO D/ HIERRO T/ 43 ,45118,315.39,,,,,,,,,,,,,,,,,,,,,,
213,BOTA D/ HULE M/ TOLSEN C/ CUBO D/ HIERRO T/ 44 ,45119,315.39,,,,,,,,,,,,,,,,,,,,,,
214,SET P/ PINTAR M/ TOLSEN D/ 3PCS ,40088,89.60,,,,,,,,,,,,,,,,,,,,,,
215,BOMBA D/ FUMIGAR M/ TOLSEN T/ BOTE D/ 5 LTS ,57292,250.28,,,,,,,,,,,,,,,,,,,,,,
















































































































































































































































































































































































































































































































































































































































































































































































































