N.,DESCRIPCION,Precio + IVA,,,,,,,,,,,,,,,,,,,,,,
44,JUEGO D/ PUNTAS M/ TOLSEN C/ MANERL D/ 26PCS ",20034,140.97,,,,,,,,,,,,,,,,,,,,,,
45,JUEGO D/ CUBOS-PUNTAS M/ TOLSEN D/ 41 PCS ",20036,266.41,,,,,,,,,,,,,,,,,,,,,,
46,JUEGO D/ CUBOS-PUNTAS M/ TOLSEN D/ 42 PCS ",20041,276.56,,,,,,,,,,,,,,,,,,,,,,
47,JUEGO D/ LLAVE HEXAGONAL M/ TOLSEN T/ EXTRA-LARGOS D/ 9 PCS ",20049,112.30,,,,,,,,,,,,,,,,,,,,,,
48,JUEGO D/ LLAVE HEXAGONAL M/ TOLSEN D/ 10 PCS ",20051,42.41,,,,,,,,,,,,,,,,,,,,,,
49,JUEGO D/ LLAVE TORX T/ T - DESARMADORES D/ 8 PCS ",20061,239.53,,,,,,,,,,,,,,,,,,,,,,
50,"DESARMADOR M/ TOLSEN T/ PHILIPS D/ GOLPE D/ PH2 X 150 MM ( 6"" ) ",20125,44.20,,,,,,,,,,,,,,,,,,,,,,
51,"DESARMADOR M/ TOLSEN T/ PHILIPS D/ GOLPE D/ PH3 X 150 MM ( 6"" ) ",20127,54.95,,,,,,,,,,,,,,,,,,,,,,
52,JUEGO D/ DESARMADORES M/ TOLSEN D/ 2 PCS PH2 X 38MM - 6.5 X 38MM ",20181,35.84,,,,,,,,,,,,,,,,,,,,,,
53,"PUNTAS M/ TOLSEN T/ PHILIPS D/ PH2 X 25MM ( 1"" ) D/ 5 PCS ",20271,19.29,,,,,,,,,,,,,,,,,,,,,,
54,"PUNTAS M/ TOLSEN T/ PHILIPS D/ PH2 X 50MM ( 2"" ) ",20313,15.35,,,,,,,,,,,,,,,,,,,,,,
55,"PUNTAS M/ TOLSEN T/ PHILIPS D/ PH3 X 50MM ( 2"" ) ",20314,15.35,,,,,,,,,,,,,,,,,,,,,,
56,JUEGO D/ PUNTAS M/ TOLSEN P/ ATORNILLAR D/ 40 PCS ",20385,395.43,,,,,,,,,,,,,,,,,,,,,,
57,MARTILLO M/ TOLSEN D/ HULE T/ INDISTRIAL D/ 8 OZ - 225 G ",25033,61.52,,,,,,,,,,,,,,,,,,,,,,
58,MARTILLO M/ TOLSEN D/ HULE T/ INDISTRIAL D/ 16 OZ - 450 G ",25035,78.85,,,,,,,,,,,,,,,,,,,,,,
59,MARTILLO M/ TOLSEN P/ CARPINTERO M/ MADERA D/ 29MM 16OZ 450G ",25150,113.49,,,,,,,,,,,,,,,,,,,,,,
60,MARTILLO M/ TOLSEN D/ HULE T/ INDISTRIAL D/ 8 OZ - 225 G ",25173,75.86,,,,,,,,,,,,,,,,,,,,,,
61,"JUEGO D/ FORMONES M/ TOLSEN D/ 4PCS  6MM(1/4"") -13MM(1/2"") - 19MM(3/4"") - 25MM(1"") ",25384,273.57,,,,,,,,,,,,,,,,,,,,,,
62,CUTER M/ TOLSEN D/ 18 X 100 MM ",30000,8.96,,,,,,,,,,,,,,,,,,,,,,
63,CUTER M/ TOLSEN D/ 18 X 100 MM ",30001,19.11,,,,,,,,,,,,,,,,,,,,,,
64,RASPADOR M/ TOLSEN D/ 100 X 18.5 X 0.4 MM ",30006,28.07,,,,,,,,,,,,,,,,,,,,,,
65,"TIJERA M/ TOLSEN P/ LAMINA L/ DERECHO D/ 10"" - 250 MM ",30022,129.02,,,,,,,,,,,,,,,,,,,,,,
66,TENAZA MULTIUSO M/ TOLSEN ",30046,219.81,,,,,,,,,,,,,,,,,,,,,,
67,"SERRUCHO M/ TOLSEN P/ MADERA D/ 14"" - 350MM ",31016,123.65,,,,,,,,,,,,,,,,,,,,,,
68,"TIJERA M/ TOLSEN P/ PODAR D/ 8"" ",31018,99.16,,,,,,,,,,,,,,,,,,,,,,
69,"TIJERA M/ TOLSEN P/ PODAR M/ AMARILLA D/ 8"" ",31022,155.90,,,,,,,,,,,,,,,,,,,,,,
70,"SERRUCHO M/ TOLSEN D/ 14"" - 400MM ",31070,91.99,,,,,,,,,,,,,,,,,,,,,,
71,"SERRUCHO M/ TOLSEN D/ 18"" - 450MM ",31071,102.14,,,,,,,,,,,,,,,,,,,,,,
72,"SERRUCHO M/ TOLSEN D/ 20"" - 500MM ",31072,112.89,,,,,,,,,,,,,,,,,,,,,,
73,"SERRUCHO M/ TOLSEN D/ 22"" - 550MM ",31073,123.65,,,,,,,,,,,,,,,,,,,,,,
74,"LIMA M/ TOLSEN C/ MANGO T/ PLANA P/ HIERRO D/ 8"" ",32001,60.33,,,,,,,,,,,,,,,,,,,,,,
75,"LIMA M/ TOLSEN C/ MANGO T/ MEDIA CAÑA P/ HIERRO D/ 8"" ",32005,67.50,,,,,,,,,,,,,,,,,,,,,,
76,"LIMA M/ TOLSEN C/ MANGO T/ REDONDA P/ HIERRO D/ 8"" ",32009,53.16,,,,,,,,,,,,,,,,,,,,,,
77,"LIMA M/ TOLSEN C/ MANGO T/ TRIANGULAR P/ HIERRO D/ 8"" ",32013,58.54,,,,,,,,,,,,,,,,,,,,,,
78,"LIMA M/ TOLSEN C/ MANGO T/ CUADRADA P/ HIERRO D/ 8"" ",32017,55.55,,,,,,,,,,,,,,,,,,,,,,
79,"LIMA M/ TOLSEN C/ MANGO T/ MEDIA CAÑA P/ HIERRO D/ 8"" ",32005,63.32,,,,,,,,,,,,,,,,,,,,,,
80,"LIMA M/ TOLSEN C/ MANGO T/ REDONDA P/ MADERA D/ 8"" ",32029,50.18,,,,,,,,,,,,,,,,,,,,,,
81,PIEDRA P/ AFILAR M/ TOLSEN D/ 150 X 50 X 25 MM ",32047,17.32,,,,,,,,,,,,,,,,,,,,,,
82,"EXTRACTOR D/ TORNILLOS M/ TOLSEN #1, 2, 3, 4, 5 ",33505,94.38,,,,,,,,,,,,,,,,,,,,,,
83,CINTA METRICA M/ TOLSEN D/ 8MTS - 26 PIES ",35005,101.54,,,,,,,,,,,,,,,,,,,,,,
84,"NIVEL M/ TOLSEN D/ ALUMINIO D/ 16"" ",35064,80.64,,,,,,,,,,,,,,,,,,,,,,
85,"NIVEL M/ TOLSEN D/ ALUMINIO D/ 24"" ",35066,97.36,,,,,,,,,,,,,,,,,,,,,,
86,"ESCUADRA M TOLSEN D/ 10"" - 250MM ",35080,53.76,,,,,,,,,,,,,,,,,,,,,,
87,EXTENSION M/ TOLSEN P/ NIVEL LASER D/ 3.85 MTS ",35168,"1,434.17",,,,,,,,,,,,,,,,,,,,,,
